timeslice,commodity,year,asset,region,technology,installed,month,day,hour,supply
0,heat,2030,1,R1,gasboiler,2025,all-year,all-week,night,0.22780000000
0,heat,2030,3,R1,heatpump,2020,all-year,all-week,night,1.05560000000
0,heat,2030,4,R1,heatpump,2025,all-year,all-week,night,0.38330000000
0,heat,2035,1,R1,gasboiler,2025,all-year,all-week,night,0.22780000000
0,heat,2035,4,R1,heatpump,2025,all-year,all-week,night,0.38330000000
0,heat,2035,5,R1,heatpump,2030,all-year,all-week,night,1.38890000000
0,CO2f,2030,1,R1,gasboiler,2025,all-year,all-week,night,14.73950000000
0,CO2f,2035,1,R1,gasboiler,2025,all-year,all-week,night,14.73950000000
1,heat,2030,1,R1,gasboiler,2025,all-year,all-week,morning,0.34170000000
1,heat,2030,3,R1,heatpump,2020,all-year,all-week,morning,1.58330000000
1,heat,2030,4,R1,heatpump,2025,all-year,all-week,morning,0.57500000000
1,heat,2035,1,R1,gasboiler,2025,all-year,all-week,morning,0.34170000000
1,heat,2035,4,R1,heatpump,2025,all-year,all-week,morning,0.57500000000
1,heat,2035,5,R1,heatpump,2030,all-year,all-week,morning,2.08330000000
1,CO2f,2030,1,R1,gasboiler,2025,all-year,all-week,morning,22.10930000000
1,CO2f,2035,1,R1,gasboiler,2025,all-year,all-week,morning,22.10930000000
2,heat,2030,1,R1,gasboiler,2025,all-year,all-week,afternoon,0.22780000000
2,heat,2030,3,R1,heatpump,2020,all-year,all-week,afternoon,1.05560000000
2,heat,2030,4,R1,heatpump,2025,all-year,all-week,afternoon,0.38330000000
2,heat,2035,1,R1,gasboiler,2025,all-year,all-week,afternoon,0.22780000000
2,heat,2035,4,R1,heatpump,2025,all-year,all-week,afternoon,0.38330000000
2,heat,2035,5,R1,heatpump,2030,all-year,all-week,afternoon,1.38890000000
2,CO2f,2030,1,R1,gasboiler,2025,all-year,all-week,afternoon,14.73950000000
2,CO2f,2035,1,R1,gasboiler,2025,all-year,all-week,afternoon,14.73950000000
3,heat,2030,1,R1,gasboiler,2025,all-year,all-week,early-peak,0.34170000000
3,heat,2030,3,R1,heatpump,2020,all-year,all-week,early-peak,1.58330000000
3,heat,2030,4,R1,heatpump,2025,all-year,all-week,early-peak,0.57500000000
3,heat,2035,1,R1,gasboiler,2025,all-year,all-week,early-peak,0.34170000000
3,heat,2035,4,R1,heatpump,2025,all-year,all-week,early-peak,0.57500000000
3,heat,2035,5,R1,heatpump,2030,all-year,all-week,early-peak,2.08330000000
3,CO2f,2030,1,R1,gasboiler,2025,all-year,all-week,early-peak,22.10930000000
3,CO2f,2035,1,R1,gasboiler,2025,all-year,all-week,early-peak,22.10930000000
4,heat,2030,1,R1,gasboiler,2025,all-year,all-week,late-peak,0.68330000000
4,heat,2030,3,R1,heatpump,2020,all-year,all-week,late-peak,3.16670000000
4,heat,2030,4,R1,heatpump,2025,all-year,all-week,late-peak,1.15000000000
4,heat,2035,1,R1,gasboiler,2025,all-year,all-week,late-peak,0.68330000000
4,heat,2035,4,R1,heatpump,2025,all-year,all-week,late-peak,1.15000000000
4,heat,2035,5,R1,heatpump,2030,all-year,all-week,late-peak,4.16670000000
4,CO2f,2030,1,R1,gasboiler,2025,all-year,all-week,late-peak,44.21850000000
4,CO2f,2035,1,R1,gasboiler,2025,all-year,all-week,late-peak,44.21850000000
5,heat,2030,1,R1,gasboiler,2025,all-year,all-week,evening,0.45560000000
5,heat,2030,3,R1,heatpump,2020,all-year,all-week,evening,2.11110000000
5,heat,2030,4,R1,heatpump,2025,all-year,all-week,evening,0.76670000000
5,heat,2035,1,R1,gasboiler,2025,all-year,all-week,evening,0.45560000000
5,heat,2035,4,R1,heatpump,2025,all-year,all-week,evening,0.76670000000
5,heat,2035,5,R1,heatpump,2030,all-year,all-week,evening,2.77780000000
5,CO2f,2030,1,R1,gasboiler,2025,all-year,all-week,evening,29.47900000000
5,CO2f,2035,1,R1,gasboiler,2025,all-year,all-week,evening,29.47900000000
