timeslice,asset,year,commodity,region,installed,technology,month,day,hour
0,0,2045,electricity,R1,2020,windturbine,all-year,all-week,night
0,1,2050,electricity,R1,2045,windturbine,all-year,all-week,night
1,0,2045,electricity,R1,2020,windturbine,all-year,all-week,morning
1,1,2050,electricity,R1,2045,windturbine,all-year,all-week,morning
2,0,2045,electricity,R1,2020,windturbine,all-year,all-week,afternoon
2,1,2050,electricity,R1,2045,windturbine,all-year,all-week,afternoon
3,0,2045,electricity,R1,2020,windturbine,all-year,all-week,early-peak
3,1,2050,electricity,R1,2045,windturbine,all-year,all-week,early-peak
4,0,2045,electricity,R1,2020,windturbine,all-year,all-week,late-peak
4,1,2050,electricity,R1,2045,windturbine,all-year,all-week,late-peak
5,0,2045,electricity,R1,2020,windturbine,all-year,all-week,evening
5,1,2050,electricity,R1,2045,windturbine,all-year,all-week,evening
