asset,year,region,technology,installed,capacity
1,2030,R1,gasCCGT,2025,3.00000000000
1,2035,R1,gasCCGT,2025,3.00000000000
1,2040,R1,gasCCGT,2025,3.00000000000
1,2045,R1,gasCCGT,2025,3.00000000000
1,2049,R1,gasCCGT,2025,3.00000000000
1,2050,R1,gasCCGT,2025,3.00000000000
1,2054,R1,gasCCGT,2025,3.00000000000
1,2055,R1,gasCCGT,2025,3.00000000000
1,2059,R1,gasCCGT,2025,3.00000000000
1,2060,R1,gasCCGT,2025,3.00000000000
1,2064,R1,gasCCGT,2025,3.00000000000
2,2030,R1,solarPV,2020,6.75000000000
2,2035,R1,solarPV,2020,6.75000000000
2,2040,R1,solarPV,2020,6.75000000000
2,2045,R1,solarPV,2020,6.75000000000
2,2049,R1,solarPV,2020,6.75000000000
3,2030,R1,solarPV,2025,2.40000000000
3,2035,R1,solarPV,2025,2.40000000000
3,2040,R1,solarPV,2025,2.40000000000
3,2045,R1,solarPV,2025,2.40000000000
3,2049,R1,solarPV,2025,2.40000000000
3,2050,R1,solarPV,2025,2.40000000000
3,2054,R1,solarPV,2025,2.40000000000
4,2035,R1,solarPV,2030,6.00000000000
4,2040,R1,solarPV,2030,6.00000000000
4,2045,R1,solarPV,2030,6.00000000000
4,2049,R1,solarPV,2030,6.00000000000
4,2050,R1,solarPV,2030,6.00000000000
4,2054,R1,solarPV,2030,6.00000000000
4,2055,R1,solarPV,2030,6.00000000000
4,2059,R1,solarPV,2030,6.00000000000
5,2030,R1,windturbine,2020,10.00000000000
5,2035,R1,windturbine,2020,10.00000000000
5,2040,R1,windturbine,2020,10.00000000000
5,2045,R1,windturbine,2020,10.00000000000
5,2049,R1,windturbine,2020,10.00000000000
7,2030,R2,gasCCGT,2025,3.00000000000
7,2035,R2,gasCCGT,2025,3.00000000000
7,2040,R2,gasCCGT,2025,3.00000000000
7,2045,R2,gasCCGT,2025,3.00000000000
7,2049,R2,gasCCGT,2025,3.00000000000
7,2050,R2,gasCCGT,2025,3.00000000000
7,2054,R2,gasCCGT,2025,3.00000000000
7,2055,R2,gasCCGT,2025,3.00000000000
7,2059,R2,gasCCGT,2025,3.00000000000
7,2060,R2,gasCCGT,2025,3.00000000000
7,2064,R2,gasCCGT,2025,3.00000000000
8,2030,R2,solarPV,2025,2.40000000000
8,2035,R2,solarPV,2025,2.40000000000
8,2040,R2,solarPV,2025,2.40000000000
8,2045,R2,solarPV,2025,2.40000000000
8,2049,R2,solarPV,2025,2.40000000000
8,2050,R2,solarPV,2025,2.40000000000
8,2054,R2,solarPV,2025,2.40000000000
9,2035,R2,solarPV,2030,2.40000000000
9,2040,R2,solarPV,2030,2.40000000000
9,2045,R2,solarPV,2030,2.40000000000
9,2049,R2,solarPV,2030,2.40000000000
9,2050,R2,solarPV,2030,2.40000000000
9,2054,R2,solarPV,2030,2.40000000000
9,2055,R2,solarPV,2030,2.40000000000
9,2059,R2,solarPV,2030,2.40000000000
10,2030,R2,windturbine,2020,16.75000000000
10,2035,R2,windturbine,2020,16.75000000000
10,2040,R2,windturbine,2020,16.75000000000
10,2045,R2,windturbine,2020,16.75000000000
10,2049,R2,windturbine,2020,16.75000000000
11,2035,R2,windturbine,2030,3.60000000000
11,2040,R2,windturbine,2030,3.60000000000
11,2045,R2,windturbine,2030,3.60000000000
11,2049,R2,windturbine,2030,3.60000000000
11,2050,R2,windturbine,2030,3.60000000000
11,2054,R2,windturbine,2030,3.60000000000
11,2055,R2,windturbine,2030,3.60000000000
11,2059,R2,windturbine,2030,3.60000000000
