asset,year,region,technology,installed,capacity
0,2025,R1,gasCCGT,2020,2.00000000000
1,2030,R1,gasCCGT,2025,1.13330000000
1,2035,R1,gasCCGT,2025,1.13330000000
1,2040,R1,gasCCGT,2025,1.13330000000
1,2045,R1,gasCCGT,2025,1.13330000000
1,2049,R1,gasCCGT,2025,1.13330000000
1,2050,R1,gasCCGT,2025,1.13330000000
1,2054,R1,gasCCGT,2025,1.13330000000
1,2055,R1,gasCCGT,2025,1.13330000000
1,2059,R1,gasCCGT,2025,1.13330000000
1,2060,R1,gasCCGT,2025,1.13330000000
1,2064,R1,gasCCGT,2025,1.13330000000
4,2025,R1,windturbine,2020,19.50000000000
4,2030,R1,windturbine,2020,19.50000000000
4,2035,R1,windturbine,2020,19.50000000000
4,2040,R1,windturbine,2020,19.50000000000
4,2045,R1,windturbine,2020,19.50000000000
4,2049,R1,windturbine,2020,19.50000000000
5,2030,R1,windturbine,2025,16.47000000000
5,2035,R1,windturbine,2025,1.95000000000
5,2040,R1,windturbine,2025,1.95000000000
5,2045,R1,windturbine,2025,1.95000000000
5,2049,R1,windturbine,2025,1.95000000000
5,2050,R1,windturbine,2025,1.95000000000
5,2054,R1,windturbine,2025,16.47000000000
6,2025,R2,gasCCGT,2020,2.00000000000
10,2025,R2,windturbine,2020,19.50000000000
10,2030,R2,windturbine,2020,19.50000000000
10,2035,R2,windturbine,2020,19.50000000000
10,2040,R2,windturbine,2020,19.50000000000
10,2045,R2,windturbine,2020,19.50000000000
10,2049,R2,windturbine,2020,19.50000000000
11,2030,R2,windturbine,2025,19.02000000000
11,2035,R2,windturbine,2025,4.50000000000
11,2040,R2,windturbine,2025,4.50000000000
11,2045,R2,windturbine,2025,4.50000000000
11,2049,R2,windturbine,2025,4.50000000000
11,2050,R2,windturbine,2025,4.50000000000
11,2054,R2,windturbine,2025,19.02000000000
