commodity,asset,year,region,installed,technology,supply
heat,7,2038,R1,2028,heatpump,35.20000000000
heat,11,2038,R1,2030,heatpump,7.20000000000
heat,11,2040,R1,2030,heatpump,7.20000000000
heat,15,2038,R1,2032,heatpump,9.20000000000
heat,15,2040,R1,2032,heatpump,9.20000000000
heat,15,2043,R1,2032,heatpump,9.20000000000
heat,19,2038,R1,2034,heatpump,3.20000000000
heat,19,2040,R1,2034,heatpump,3.20000000000
heat,19,2043,R1,2034,heatpump,3.20000000000
heat,23,2038,R1,2036,heatpump,35.20000000000
heat,23,2040,R1,2036,heatpump,36.00000000000
heat,23,2043,R1,2036,heatpump,37.20000000000
heat,27,2040,R1,2038,heatpump,8.80000000000
heat,27,2043,R1,2038,heatpump,8.80000000000
heat,35,2038,R2,2028,heatpump,35.20000000000
heat,39,2038,R2,2030,heatpump,7.20000000000
heat,39,2040,R2,2030,heatpump,7.20000000000
heat,43,2038,R2,2032,heatpump,9.20000000000
heat,43,2040,R2,2032,heatpump,9.20000000000
heat,43,2043,R2,2032,heatpump,9.20000000000
heat,47,2038,R2,2034,heatpump,3.20000000000
heat,47,2040,R2,2034,heatpump,3.20000000000
heat,47,2043,R2,2034,heatpump,3.20000000000
heat,51,2038,R2,2036,heatpump,35.20000000000
heat,51,2040,R2,2036,heatpump,36.00000000000
heat,51,2043,R2,2036,heatpump,37.20000000000
heat,55,2040,R2,2038,heatpump,8.80000000000
heat,55,2043,R2,2038,heatpump,8.80000000000
cook,5,2038,R1,2028,gas_stove,21.46670000000
cook,9,2038,R1,2030,gas_stove,8.26670000000
cook,9,2040,R1,2030,gas_stove,8.26670000000
cook,13,2038,R1,2032,gas_stove,10.26670000000
cook,13,2040,R1,2032,gas_stove,10.26670000000
cook,13,2043,R1,2032,gas_stove,10.26670000000
cook,17,2038,R1,2034,gas_stove,4.26670000000
cook,17,2040,R1,2034,gas_stove,4.26670000000
cook,17,2043,R1,2034,gas_stove,4.26670000000
cook,21,2038,R1,2036,gas_stove,23.60000000000
cook,21,2040,R1,2036,gas_stove,23.60000000000
cook,21,2043,R1,2036,gas_stove,23.60000000000
cook,25,2040,R1,2038,gas_stove,10.40000000000
cook,25,2043,R1,2038,gas_stove,10.40000000000
cook,33,2038,R2,2028,gas_stove,9.73330000000
cook,37,2038,R2,2030,gas_stove,6.13330000000
cook,37,2040,R2,2030,gas_stove,6.13330000000
cook,41,2038,R2,2032,gas_stove,8.13330000000
cook,41,2040,R2,2032,gas_stove,8.13330000000
cook,41,2043,R2,2032,gas_stove,8.13330000000
cook,45,2038,R2,2034,gas_stove,2.13330000000
cook,45,2040,R2,2034,gas_stove,2.13330000000
cook,45,2043,R2,2034,gas_stove,2.13330000000
cook,49,2038,R2,2036,gas_stove,10.80000000000
cook,49,2040,R2,2036,gas_stove,10.80000000000
cook,49,2043,R2,2036,gas_stove,10.80000000000
cook,53,2040,R2,2038,gas_stove,7.20000000000
cook,53,2043,R2,2038,gas_stove,7.20000000000
