asset,year,region,technology,installed,capacity
0,2020,R1,gassupply1,2020,15.00000000000
0,2022,R1,gassupply1,2020,15.34280000000
0,2025,R1,gassupply1,2020,15.34280000000
0,2030,R1,gassupply1,2020,7.84280000000
0,2035,R1,gassupply1,2020,0.34280000000
0,2040,R1,gassupply1,2020,0.34280000000
0,2045,R1,gassupply1,2020,0.34280000000
0,2050,R1,gassupply1,2020,0.34280000000
0,2056,R1,gassupply1,2020,0.34280000000
1,2020,R2,gassupply1,2020,15.00000000000
1,2022,R2,gassupply1,2020,15.34280000000
1,2025,R2,gassupply1,2020,15.34280000000
1,2030,R2,gassupply1,2020,7.84280000000
1,2035,R2,gassupply1,2020,0.34280000000
1,2040,R2,gassupply1,2020,0.34280000000
1,2045,R2,gassupply1,2020,0.34280000000
1,2050,R2,gassupply1,2020,0.34280000000
1,2056,R2,gassupply1,2020,0.34280000000
