,commodity,region,technology,year,consumption
0,wind,R1,windturbine,2040,0.02190000000
1,wind,R1,windturbine,2040,0.04500000000
2,wind,R1,windturbine,2040,0.14710000000
3,wind,R1,windturbine,2040,0.09030000000
4,wind,R1,windturbine,2045,0.02190000000
5,wind,R1,windturbine,2045,0.04500000000
6,wind,R1,windturbine,2045,0.14710000000
7,wind,R1,windturbine,2045,0.09030000000
8,wind,R1,windturbine,2045,0.02330000000
9,wind,R1,windturbine,2040,0.03290000000
10,wind,R1,windturbine,2040,0.06750000000
11,wind,R1,windturbine,2040,0.22060000000
12,wind,R1,windturbine,2040,0.13540000000
13,wind,R1,windturbine,2045,0.03290000000
14,wind,R1,windturbine,2045,0.06750000000
15,wind,R1,windturbine,2045,0.22060000000
16,wind,R1,windturbine,2045,0.13540000000
17,wind,R1,windturbine,2045,0.03500000000
18,wind,R1,windturbine,2040,0.02190000000
19,wind,R1,windturbine,2040,0.04500000000
20,wind,R1,windturbine,2040,0.14710000000
21,wind,R1,windturbine,2040,0.09030000000
22,wind,R1,windturbine,2045,0.02190000000
23,wind,R1,windturbine,2045,0.04500000000
24,wind,R1,windturbine,2045,0.14710000000
25,wind,R1,windturbine,2045,0.09030000000
26,wind,R1,windturbine,2045,0.02330000000
27,wind,R1,windturbine,2040,0.03290000000
28,wind,R1,windturbine,2040,0.06750000000
29,wind,R1,windturbine,2040,0.22060000000
30,wind,R1,windturbine,2040,0.13540000000
31,wind,R1,windturbine,2045,0.03290000000
32,wind,R1,windturbine,2045,0.06750000000
33,wind,R1,windturbine,2045,0.22060000000
34,wind,R1,windturbine,2045,0.13540000000
35,wind,R1,windturbine,2045,0.03500000000
36,wind,R1,windturbine,2040,0.06580000000
37,wind,R1,windturbine,2040,0.13500000000
38,wind,R1,windturbine,2040,0.44120000000
39,wind,R1,windturbine,2040,0.27080000000
40,wind,R1,windturbine,2045,0.06580000000
41,wind,R1,windturbine,2045,0.13500000000
42,wind,R1,windturbine,2045,0.44120000000
43,wind,R1,windturbine,2045,0.27080000000
44,wind,R1,windturbine,2045,0.07000000000
45,wind,R1,windturbine,2040,0.04390000000
46,wind,R1,windturbine,2040,0.09000000000
47,wind,R1,windturbine,2040,0.29410000000
48,wind,R1,windturbine,2040,0.18050000000
49,wind,R1,windturbine,2045,0.04390000000
50,wind,R1,windturbine,2045,0.09000000000
51,wind,R1,windturbine,2045,0.29410000000
52,wind,R1,windturbine,2045,0.18050000000
53,wind,R1,windturbine,2045,0.04670000000
