asset,year,region,technology,installed,capacity
0,2035,R1,gasCCGT,2025,0.25560000000
0,2040,R1,gasCCGT,2025,0.25560000000
0,2045,R1,gasCCGT,2025,0.25560000000
0,2049,R1,gasCCGT,2025,0.25560000000
0,2050,R1,gasCCGT,2025,0.25560000000
0,2054,R1,gasCCGT,2025,0.25560000000
0,2055,R1,gasCCGT,2025,0.25560000000
0,2059,R1,gasCCGT,2025,0.25560000000
0,2060,R1,gasCCGT,2025,0.25560000000
0,2064,R1,gasCCGT,2025,0.25560000000
2,2035,R1,solarPV,2020,6.75000000000
2,2040,R1,solarPV,2020,6.75000000000
2,2045,R1,solarPV,2020,6.75000000000
2,2049,R1,solarPV,2020,6.75000000000
3,2035,R1,solarPV,2025,0.67500000000
3,2040,R1,solarPV,2025,0.67500000000
3,2045,R1,solarPV,2025,0.67500000000
3,2049,R1,solarPV,2025,0.67500000000
3,2050,R1,solarPV,2025,0.67500000000
3,2054,R1,solarPV,2025,0.67500000000
6,2035,R1,windturbine,2020,10.00000000000
6,2040,R1,windturbine,2020,10.00000000000
6,2045,R1,windturbine,2020,10.00000000000
6,2049,R1,windturbine,2020,10.00000000000
7,2035,R1,windturbine,2025,8.90000000000
7,2040,R1,windturbine,2025,8.90000000000
7,2045,R1,windturbine,2025,8.90000000000
7,2049,R1,windturbine,2025,8.90000000000
7,2050,R1,windturbine,2025,8.90000000000
7,2054,R1,windturbine,2025,8.90000000000
8,2035,R1,windturbine,2030,6.00000000000
8,2040,R1,windturbine,2030,6.00000000000
8,2045,R1,windturbine,2030,6.00000000000
8,2049,R1,windturbine,2030,6.00000000000
8,2050,R1,windturbine,2030,6.00000000000
8,2054,R1,windturbine,2030,6.00000000000
8,2055,R1,windturbine,2030,6.00000000000
8,2059,R1,windturbine,2030,6.00000000000
9,2040,R1,windturbine,2035,9.10000000000
9,2064,R1,windturbine,2035,9.10000000000
