month,day,hour,technology,installed,supply
all-year,all-week,night,heatpump,2020,0.35420000000
all-year,all-week,night,heatpump,2025,0.22920000000
all-year,all-week,night,heatpump,2020,0.35420000000
all-year,all-week,night,heatpump,2025,0.22920000000
all-year,all-week,night,heatpump,2025,0.23330000000
all-year,all-week,night,heatpump,2030,0.46670000000
all-year,all-week,night,heatpump,2025,0.23330000000
all-year,all-week,night,heatpump,2030,0.46670000000
all-year,all-week,night,heatpump,2020,0.35420000000
all-year,all-week,night,heatpump,2025,0.22920000000
all-year,all-week,night,heatpump,2020,0.35420000000
all-year,all-week,night,heatpump,2025,0.22920000000
all-year,all-week,night,heatpump,2025,0.23330000000
all-year,all-week,night,heatpump,2030,0.46670000000
all-year,all-week,night,heatpump,2025,0.23330000000
all-year,all-week,night,heatpump,2030,0.46670000000
all-year,all-week,night,electric_stove,2020,0.35420000000
all-year,all-week,night,electric_stove,2025,0.22920000000
all-year,all-week,night,electric_stove,2020,0.35420000000
all-year,all-week,night,electric_stove,2025,0.22920000000
all-year,all-week,night,electric_stove,2025,0.23330000000
all-year,all-week,night,electric_stove,2030,0.46670000000
all-year,all-week,night,electric_stove,2025,0.23330000000
all-year,all-week,night,electric_stove,2030,0.46670000000
all-year,all-week,night,electric_stove,2020,0.35420000000
all-year,all-week,night,electric_stove,2025,0.22920000000
all-year,all-week,night,electric_stove,2020,0.35420000000
all-year,all-week,night,electric_stove,2025,0.22920000000
all-year,all-week,night,electric_stove,2025,0.23330000000
all-year,all-week,night,electric_stove,2030,0.46670000000
all-year,all-week,night,electric_stove,2025,0.23330000000
all-year,all-week,night,electric_stove,2030,0.46670000000
all-year,all-week,morning,heatpump,2020,0.50600000000
all-year,all-week,morning,heatpump,2025,0.32740000000
all-year,all-week,morning,heatpump,2020,0.50600000000
all-year,all-week,morning,heatpump,2025,0.32740000000
all-year,all-week,morning,heatpump,2025,0.33330000000
all-year,all-week,morning,heatpump,2030,0.66670000000
all-year,all-week,morning,heatpump,2025,0.33330000000
all-year,all-week,morning,heatpump,2030,0.66670000000
all-year,all-week,morning,heatpump,2020,0.50600000000
all-year,all-week,morning,heatpump,2025,0.32740000000
all-year,all-week,morning,heatpump,2020,0.50600000000
all-year,all-week,morning,heatpump,2025,0.32740000000
all-year,all-week,morning,heatpump,2025,0.33330000000
all-year,all-week,morning,heatpump,2030,0.66670000000
all-year,all-week,morning,heatpump,2025,0.33330000000
all-year,all-week,morning,heatpump,2030,0.66670000000
all-year,all-week,morning,electric_stove,2020,0.50600000000
all-year,all-week,morning,electric_stove,2025,0.32740000000
all-year,all-week,morning,electric_stove,2020,0.50600000000
all-year,all-week,morning,electric_stove,2025,0.32740000000
all-year,all-week,morning,electric_stove,2025,0.33330000000
all-year,all-week,morning,electric_stove,2030,0.66670000000
all-year,all-week,morning,electric_stove,2025,0.33330000000
all-year,all-week,morning,electric_stove,2030,0.66670000000
all-year,all-week,morning,electric_stove,2020,0.50600000000
all-year,all-week,morning,electric_stove,2025,0.32740000000
all-year,all-week,morning,electric_stove,2020,0.50600000000
all-year,all-week,morning,electric_stove,2025,0.32740000000
all-year,all-week,morning,electric_stove,2025,0.33330000000
all-year,all-week,morning,electric_stove,2030,0.66670000000
all-year,all-week,morning,electric_stove,2025,0.33330000000
all-year,all-week,morning,electric_stove,2030,0.66670000000
all-year,all-week,mid-afternoon,heatpump,2020,0.35420000000
all-year,all-week,mid-afternoon,heatpump,2025,0.22920000000
all-year,all-week,mid-afternoon,heatpump,2020,0.35420000000
all-year,all-week,mid-afternoon,heatpump,2025,0.22920000000
all-year,all-week,mid-afternoon,heatpump,2025,0.23330000000
all-year,all-week,mid-afternoon,heatpump,2030,0.46670000000
all-year,all-week,mid-afternoon,heatpump,2025,0.23330000000
all-year,all-week,mid-afternoon,heatpump,2030,0.46670000000
all-year,all-week,mid-afternoon,heatpump,2020,0.35420000000
all-year,all-week,mid-afternoon,heatpump,2025,0.22920000000
all-year,all-week,mid-afternoon,heatpump,2020,0.35420000000
all-year,all-week,mid-afternoon,heatpump,2025,0.22920000000
all-year,all-week,mid-afternoon,heatpump,2025,0.23330000000
all-year,all-week,mid-afternoon,heatpump,2030,0.46670000000
all-year,all-week,mid-afternoon,heatpump,2025,0.23330000000
all-year,all-week,mid-afternoon,heatpump,2030,0.46670000000
all-year,all-week,mid-afternoon,electric_stove,2020,0.35420000000
all-year,all-week,mid-afternoon,electric_stove,2025,0.22920000000
all-year,all-week,mid-afternoon,electric_stove,2020,0.35420000000
all-year,all-week,mid-afternoon,electric_stove,2025,0.22920000000
all-year,all-week,mid-afternoon,electric_stove,2025,0.23330000000
all-year,all-week,mid-afternoon,electric_stove,2030,0.46670000000
all-year,all-week,mid-afternoon,electric_stove,2025,0.23330000000
all-year,all-week,mid-afternoon,electric_stove,2030,0.46670000000
all-year,all-week,mid-afternoon,electric_stove,2020,0.35420000000
all-year,all-week,mid-afternoon,electric_stove,2025,0.22920000000
all-year,all-week,mid-afternoon,electric_stove,2020,0.35420000000
all-year,all-week,mid-afternoon,electric_stove,2025,0.22920000000
all-year,all-week,mid-afternoon,electric_stove,2025,0.23330000000
all-year,all-week,mid-afternoon,electric_stove,2030,0.46670000000
all-year,all-week,mid-afternoon,electric_stove,2025,0.23330000000
all-year,all-week,mid-afternoon,electric_stove,2030,0.46670000000
all-year,all-week,early-peak,heatpump,2020,0.50600000000
all-year,all-week,early-peak,heatpump,2025,0.32740000000
all-year,all-week,early-peak,heatpump,2020,0.50600000000
all-year,all-week,early-peak,heatpump,2025,0.32740000000
all-year,all-week,early-peak,heatpump,2025,0.33330000000
all-year,all-week,early-peak,heatpump,2030,0.66670000000
all-year,all-week,early-peak,heatpump,2025,0.33330000000
all-year,all-week,early-peak,heatpump,2030,0.66670000000
all-year,all-week,early-peak,heatpump,2020,0.50600000000
all-year,all-week,early-peak,heatpump,2025,0.32740000000
all-year,all-week,early-peak,heatpump,2020,0.50600000000
all-year,all-week,early-peak,heatpump,2025,0.32740000000
all-year,all-week,early-peak,heatpump,2025,0.33330000000
all-year,all-week,early-peak,heatpump,2030,0.66670000000
all-year,all-week,early-peak,heatpump,2025,0.33330000000
all-year,all-week,early-peak,heatpump,2030,0.66670000000
all-year,all-week,early-peak,electric_stove,2020,0.50600000000
all-year,all-week,early-peak,electric_stove,2025,0.32740000000
all-year,all-week,early-peak,electric_stove,2020,0.50600000000
all-year,all-week,early-peak,electric_stove,2025,0.32740000000
all-year,all-week,early-peak,electric_stove,2025,0.33330000000
all-year,all-week,early-peak,electric_stove,2030,0.66670000000
all-year,all-week,early-peak,electric_stove,2025,0.33330000000
all-year,all-week,early-peak,electric_stove,2030,0.66670000000
all-year,all-week,early-peak,electric_stove,2020,0.50600000000
all-year,all-week,early-peak,electric_stove,2025,0.32740000000
all-year,all-week,early-peak,electric_stove,2020,0.50600000000
all-year,all-week,early-peak,electric_stove,2025,0.32740000000
all-year,all-week,early-peak,electric_stove,2025,0.33330000000
all-year,all-week,early-peak,electric_stove,2030,0.66670000000
all-year,all-week,early-peak,electric_stove,2025,0.33330000000
all-year,all-week,early-peak,electric_stove,2030,0.66670000000
all-year,all-week,late-peak,heatpump,2020,1.06250000000
all-year,all-week,late-peak,heatpump,2025,0.68750000000
all-year,all-week,late-peak,heatpump,2020,1.06250000000
all-year,all-week,late-peak,heatpump,2025,0.68750000000
all-year,all-week,late-peak,heatpump,2025,0.70000000000
all-year,all-week,late-peak,heatpump,2030,1.40000000000
all-year,all-week,late-peak,heatpump,2025,0.70000000000
all-year,all-week,late-peak,heatpump,2030,1.40000000000
all-year,all-week,late-peak,heatpump,2020,1.06250000000
all-year,all-week,late-peak,heatpump,2025,0.68750000000
all-year,all-week,late-peak,heatpump,2020,1.06250000000
all-year,all-week,late-peak,heatpump,2025,0.68750000000
all-year,all-week,late-peak,heatpump,2025,0.70000000000
all-year,all-week,late-peak,heatpump,2030,1.40000000000
all-year,all-week,late-peak,heatpump,2025,0.70000000000
all-year,all-week,late-peak,heatpump,2030,1.40000000000
all-year,all-week,late-peak,electric_stove,2020,1.06250000000
all-year,all-week,late-peak,electric_stove,2025,0.68750000000
all-year,all-week,late-peak,electric_stove,2020,1.06250000000
all-year,all-week,late-peak,electric_stove,2025,0.68750000000
all-year,all-week,late-peak,electric_stove,2025,0.70000000000
all-year,all-week,late-peak,electric_stove,2030,1.40000000000
all-year,all-week,late-peak,electric_stove,2025,0.70000000000
all-year,all-week,late-peak,electric_stove,2030,1.40000000000
