timeslice,commodity,year,asset,region,month,day,hour,technology,installed,supply
0,heat,2025,0,R1,all-year,all-week,night,gasboiler,2020,0.27780000000
0,heat,2025,2,R1,all-year,all-week,night,heatpump,2020,1.05560000000
0,heat,2030,1,R1,all-year,all-week,night,gasboiler,2025,0.22780000000
0,heat,2030,2,R1,all-year,all-week,night,heatpump,2020,1.05560000000
0,heat,2030,3,R1,all-year,all-week,night,heatpump,2025,0.38330000000
0,CO2f,2025,0,R1,all-year,all-week,night,gasboiler,2020,17.97500000000
0,CO2f,2030,1,R1,all-year,all-week,night,gasboiler,2025,14.73950000000
1,heat,2025,0,R1,all-year,all-week,morning,gasboiler,2020,0.41670000000
1,heat,2025,2,R1,all-year,all-week,morning,heatpump,2020,1.58330000000
1,heat,2030,1,R1,all-year,all-week,morning,gasboiler,2025,0.34170000000
1,heat,2030,2,R1,all-year,all-week,morning,heatpump,2020,1.58330000000
1,heat,2030,3,R1,all-year,all-week,morning,heatpump,2025,0.57500000000
1,CO2f,2025,0,R1,all-year,all-week,morning,gasboiler,2020,26.96250000000
1,CO2f,2030,1,R1,all-year,all-week,morning,gasboiler,2025,22.10920000000
2,heat,2025,0,R1,all-year,all-week,afternoon,gasboiler,2020,0.27780000000
2,heat,2025,2,R1,all-year,all-week,afternoon,heatpump,2020,1.05560000000
2,heat,2030,1,R1,all-year,all-week,afternoon,gasboiler,2025,0.22780000000
2,heat,2030,2,R1,all-year,all-week,afternoon,heatpump,2020,1.05560000000
2,heat,2030,3,R1,all-year,all-week,afternoon,heatpump,2025,0.38330000000
2,CO2f,2025,0,R1,all-year,all-week,afternoon,gasboiler,2020,17.97500000000
2,CO2f,2030,1,R1,all-year,all-week,afternoon,gasboiler,2025,14.73950000000
3,heat,2025,0,R1,all-year,all-week,early-peak,gasboiler,2020,0.41670000000
3,heat,2025,2,R1,all-year,all-week,early-peak,heatpump,2020,1.58330000000
3,heat,2030,1,R1,all-year,all-week,early-peak,gasboiler,2025,0.34170000000
3,heat,2030,2,R1,all-year,all-week,early-peak,heatpump,2020,1.58330000000
3,heat,2030,3,R1,all-year,all-week,early-peak,heatpump,2025,0.57500000000
3,CO2f,2025,0,R1,all-year,all-week,early-peak,gasboiler,2020,26.96250000000
3,CO2f,2030,1,R1,all-year,all-week,early-peak,gasboiler,2025,22.10920000000
4,heat,2025,0,R1,all-year,all-week,late-peak,gasboiler,2020,0.83330000000
4,heat,2025,2,R1,all-year,all-week,late-peak,heatpump,2020,3.16670000000
4,heat,2030,1,R1,all-year,all-week,late-peak,gasboiler,2025,0.68330000000
4,heat,2030,2,R1,all-year,all-week,late-peak,heatpump,2020,3.16670000000
4,heat,2030,3,R1,all-year,all-week,late-peak,heatpump,2025,1.15000000000
4,CO2f,2025,0,R1,all-year,all-week,late-peak,gasboiler,2020,53.92500000000
4,CO2f,2030,1,R1,all-year,all-week,late-peak,gasboiler,2025,44.21850000000
5,heat,2025,0,R1,all-year,all-week,evening,gasboiler,2020,0.55560000000
5,heat,2025,2,R1,all-year,all-week,evening,heatpump,2020,2.11110000000
5,heat,2030,1,R1,all-year,all-week,evening,gasboiler,2025,0.45560000000
5,heat,2030,2,R1,all-year,all-week,evening,heatpump,2020,2.11110000000
5,heat,2030,3,R1,all-year,all-week,evening,heatpump,2025,0.76670000000
5,CO2f,2025,0,R1,all-year,all-week,evening,gasboiler,2020,35.95000000000
5,CO2f,2030,1,R1,all-year,all-week,evening,gasboiler,2025,29.47900000000
