commodity,year,asset,region,installed,technology,supply
CO2f,2035,0,R1,2010,procammonia_1,15051.32780000000
CO2f,2035,1,R1,2010,procammonia_2,11237.18450000000
CO2f,2035,2,R1,2015,procammonia_1,29870.38300000000
CO2f,2035,4,R1,2020,procammonia_1,29773.56210000000
CO2f,2035,6,R1,2025,procammonia_1,29540.22720000000
CO2f,2035,8,R1,2030,procammonia_1,63270.20010000000
CO2f,2040,4,R1,2020,procammonia_1,29773.56210000000
CO2f,2040,6,R1,2025,procammonia_1,29540.22720000000
CO2f,2040,8,R1,2030,procammonia_1,63270.20010000000
CO2f,2040,10,R1,2035,procammonia_1,55237.19020000000
ammonia,2035,0,R1,2010,procammonia_1,3.61110000000
ammonia,2035,1,R1,2010,procammonia_2,3.61110000000
ammonia,2035,2,R1,2015,procammonia_1,7.22220000000
ammonia,2035,4,R1,2020,procammonia_1,7.25520000000
ammonia,2035,6,R1,2025,procammonia_1,7.25520000000
ammonia,2035,8,R1,2030,procammonia_1,15.66320000000
ammonia,2040,4,R1,2020,procammonia_1,7.25520000000
ammonia,2040,6,R1,2025,procammonia_1,7.25520000000
ammonia,2040,8,R1,2030,procammonia_1,15.66320000000
ammonia,2040,10,R1,2035,procammonia_1,13.78430000000
