,asset,year,region,technology,installed,capacity
0,0,2045,R1,gasboiler,2035,0.91000000000
1,0,2049,R1,gasboiler,2035,0.91000000000
7,1,2045,R1,heatpump,2035,16.09000000000
8,1,2049,R1,heatpump,2035,16.09000000000
14,2,2045,R1,heatpump,2040,31.00000000000
15,2,2049,R1,heatpump,2040,31.00000000000
16,2,2050,R1,heatpump,2040,31.00000000000
17,2,2054,R1,heatpump,2040,31.00000000000
23,3,2050,R1,heatpump,2045,23.00000000000
24,3,2054,R1,heatpump,2045,23.00000000000
25,3,2055,R1,heatpump,2045,23.00000000000
26,3,2059,R1,heatpump,2045,23.00000000000
