asset,year,region,installed,technology,capacity
0,2026,R1,2020,gasCCGT,1.00000000000
2,2026,R1,2020,windturbine,63.50000000000
2,2027,R1,2020,windturbine,63.50000000000
2,2029,R1,2020,windturbine,63.50000000000
2,2030,R1,2020,windturbine,63.50000000000
2,2031,R1,2020,windturbine,63.50000000000
2,2035,R1,2020,windturbine,63.50000000000
2,2040,R1,2020,windturbine,63.50000000000
2,2045,R1,2020,windturbine,63.50000000000
2,2046,R1,2020,windturbine,63.50000000000
3,2026,R1,2022,windturbine,0.32820000000
3,2027,R1,2022,windturbine,0.32820000000
3,2029,R1,2022,windturbine,0.32820000000
3,2030,R1,2022,windturbine,0.32820000000
3,2031,R1,2022,windturbine,0.32820000000
3,2035,R1,2022,windturbine,0.32820000000
3,2040,R1,2022,windturbine,0.32820000000
3,2045,R1,2022,windturbine,0.32820000000
3,2046,R1,2022,windturbine,0.32820000000
3,2047,R1,2022,windturbine,0.32820000000
3,2048,R1,2022,windturbine,0.32820000000
6,2026,R1,2024,windturbine,27.52480000000
6,2027,R1,2024,windturbine,27.52480000000
6,2029,R1,2024,windturbine,27.52480000000
6,2030,R1,2024,windturbine,27.52480000000
6,2031,R1,2024,windturbine,27.52480000000
6,2035,R1,2024,windturbine,27.52480000000
6,2040,R1,2024,windturbine,27.52480000000
6,2045,R1,2024,windturbine,27.52480000000
6,2046,R1,2024,windturbine,27.52480000000
6,2047,R1,2024,windturbine,27.52480000000
6,2048,R1,2024,windturbine,27.52480000000
6,2049,R1,2024,windturbine,27.52480000000
6,2050,R1,2024,windturbine,27.52480000000
7,2026,R2,2020,gasCCGT,1.00000000000
9,2026,R2,2020,windturbine,63.50000000000
9,2027,R2,2020,windturbine,63.50000000000
9,2029,R2,2020,windturbine,63.50000000000
9,2030,R2,2020,windturbine,63.50000000000
9,2031,R2,2020,windturbine,63.50000000000
9,2035,R2,2020,windturbine,63.50000000000
9,2040,R2,2020,windturbine,63.50000000000
9,2045,R2,2020,windturbine,63.50000000000
9,2046,R2,2020,windturbine,63.50000000000
10,2026,R2,2022,windturbine,0.32820000000
10,2027,R2,2022,windturbine,0.32820000000
10,2029,R2,2022,windturbine,0.32820000000
10,2030,R2,2022,windturbine,0.32820000000
10,2031,R2,2022,windturbine,0.32820000000
10,2035,R2,2022,windturbine,0.32820000000
10,2040,R2,2022,windturbine,0.32820000000
10,2045,R2,2022,windturbine,0.32820000000
10,2046,R2,2022,windturbine,0.32820000000
10,2047,R2,2022,windturbine,0.32820000000
10,2048,R2,2022,windturbine,0.32820000000
13,2026,R2,2024,windturbine,27.52480000000
13,2027,R2,2024,windturbine,27.52480000000
13,2029,R2,2024,windturbine,27.52480000000
13,2030,R2,2024,windturbine,27.52480000000
13,2031,R2,2024,windturbine,27.52480000000
13,2035,R2,2024,windturbine,27.52480000000
13,2040,R2,2024,windturbine,27.52480000000
13,2045,R2,2024,windturbine,27.52480000000
13,2046,R2,2024,windturbine,27.52480000000
13,2047,R2,2024,windturbine,27.52480000000
13,2048,R2,2024,windturbine,27.52480000000
13,2049,R2,2024,windturbine,27.52480000000
13,2050,R2,2024,windturbine,27.52480000000
