asset,year,region,technology,installed,capacity
1,2030,R1,gasboiler,2025,8.60000000000
1,2034,R1,gasboiler,2025,8.60000000000
1,2035,R1,gasboiler,2025,8.60000000000
1,2039,R1,gasboiler,2025,8.60000000000
3,2030,R1,heatpump,2020,14.00000000000
3,2034,R1,heatpump,2020,14.00000000000
4,2030,R1,heatpump,2025,7.40000000000
4,2034,R1,heatpump,2025,7.40000000000
4,2035,R1,heatpump,2025,7.40000000000
4,2039,R1,heatpump,2025,7.40000000000
5,2035,R1,heatpump,2030,20.00000000000
5,2039,R1,heatpump,2030,14.00000000000
5,2040,R1,heatpump,2030,14.00000000000
5,2044,R1,heatpump,2030,20.00000000000
7,2030,R2,gasboiler,2025,8.60000000000
7,2034,R2,gasboiler,2025,8.60000000000
7,2035,R2,gasboiler,2025,8.60000000000
7,2039,R2,gasboiler,2025,8.60000000000
9,2030,R2,heatpump,2020,14.00000000000
9,2034,R2,heatpump,2020,14.00000000000
10,2030,R2,heatpump,2025,7.40000000000
10,2034,R2,heatpump,2025,7.40000000000
10,2035,R2,heatpump,2025,7.40000000000
10,2039,R2,heatpump,2025,7.40000000000
11,2035,R2,heatpump,2030,20.00000000000
11,2039,R2,heatpump,2030,14.00000000000
11,2040,R2,heatpump,2030,14.00000000000
11,2044,R2,heatpump,2030,20.00000000000
