timeslice,commodity,region,year,asset,month,day,hour,technology,installed,supply
6,heat,R2,2045,3,all-year,all-week,early-morning,heatpump,2035,0.68470000000
6,heat,R2,2045,4,all-year,all-week,early-morning,heatpump,2040,1.22060000000
6,heat,R2,2050,1,all-year,all-week,early-morning,heatpump,2040,1.22060000000
6,heat,R2,2050,2,all-year,all-week,early-morning,heatpump,2045,0.92290000000
6,heat,R2,2050,4,all-year,all-week,early-morning,heatpump,2040,1.22060000000
6,heat,R2,2050,5,all-year,all-week,early-morning,heatpump,2045,0.92290000000
7,heat,R1,2045,0,all-year,all-week,late-afternoon,heatpump,2035,0.68470000000
7,heat,R1,2045,1,all-year,all-week,late-afternoon,heatpump,2040,1.22060000000
7,heat,R1,2045,3,all-year,all-week,late-afternoon,heatpump,2035,0.68470000000
7,heat,R1,2045,4,all-year,all-week,late-afternoon,heatpump,2040,1.22060000000
7,heat,R1,2050,1,all-year,all-week,late-afternoon,heatpump,2040,1.22060000000
7,heat,R1,2050,2,all-year,all-week,late-afternoon,heatpump,2045,0.92290000000
7,heat,R1,2050,4,all-year,all-week,late-afternoon,heatpump,2040,1.22060000000
7,heat,R1,2050,5,all-year,all-week,late-afternoon,heatpump,2045,0.92290000000
7,heat,R2,2045,0,all-year,all-week,late-afternoon,heatpump,2035,0.68470000000
7,heat,R2,2045,1,all-year,all-week,late-afternoon,heatpump,2040,1.22060000000
7,heat,R2,2045,3,all-year,all-week,late-afternoon,heatpump,2035,0.68470000000
7,heat,R2,2045,4,all-year,all-week,late-afternoon,heatpump,2040,1.22060000000
7,heat,R2,2050,1,all-year,all-week,late-afternoon,heatpump,2040,1.22060000000
7,heat,R2,2050,2,all-year,all-week,late-afternoon,heatpump,2045,0.92290000000
7,heat,R2,2050,4,all-year,all-week,late-afternoon,heatpump,2040,1.22060000000
7,heat,R2,2050,5,all-year,all-week,late-afternoon,heatpump,2045,0.92290000000
