asset,capacity,installed,region,technology,year
0,1.00000000000,2020,R1,gasCCGT,2020
2,1.00000000000,2020,R2,gasCCGT,2020
0,6.00000000000,2020,R1,gasCCGT,2025
2,5.50000000000,2020,R1,windturbine,2025
3,6.00000000000,2020,R2,gasCCGT,2025
5,5.50000000000,2020,R2,windturbine,2025
0,5.00000000000,2020,R1,gasCCGT,2030
1,5.88890000000,2025,R1,gasCCGT,2030
3,5.50000000000,2020,R1,windturbine,2030
4,5.00000000000,2020,R2,gasCCGT,2030
5,5.88890000000,2025,R2,gasCCGT,2030
7,5.50000000000,2020,R2,windturbine,2030
0,5.00000000000,2020,R1,gasCCGT,2035
1,5.88890000000,2025,R1,gasCCGT,2035
2,6.00000000000,2030,R1,solarPV,2035
4,5.50000000000,2020,R1,windturbine,2035
5,5.00000000000,2020,R2,gasCCGT,2035
6,5.88890000000,2025,R2,gasCCGT,2035
7,6.00000000000,2030,R2,solarPV,2035
9,5.50000000000,2020,R2,windturbine,2035
0,5.00000000000,2020,R1,gasCCGT,2040
1,5.88890000000,2025,R1,gasCCGT,2040
2,6.00000000000,2030,R1,solarPV,2040
3,6.00000000000,2035,R1,solarPV,2040
5,5.50000000000,2020,R1,windturbine,2040
6,5.00000000000,2020,R2,gasCCGT,2040
7,5.88890000000,2025,R2,gasCCGT,2040
8,6.00000000000,2030,R2,solarPV,2040
9,6.00000000000,2035,R2,solarPV,2040
11,5.50000000000,2020,R2,windturbine,2040
0,5.00000000000,2020,R1,gasCCGT,2045
1,5.88890000000,2025,R1,gasCCGT,2045
2,6.00000000000,2030,R1,solarPV,2045
3,6.00000000000,2035,R1,solarPV,2045
4,6.00000000000,2040,R1,solarPV,2045
6,5.50000000000,2020,R1,windturbine,2045
8,5.00000000000,2020,R2,gasCCGT,2045
9,5.88890000000,2025,R2,gasCCGT,2045
10,6.00000000000,2030,R2,solarPV,2045
11,6.00000000000,2035,R2,solarPV,2045
12,6.00000000000,2040,R2,solarPV,2045
14,5.50000000000,2020,R2,windturbine,2045
0,5.00000000000,2020,R1,gasCCGT,2050
1,5.88890000000,2025,R1,gasCCGT,2050
2,6.00000000000,2030,R1,solarPV,2050
3,6.00000000000,2035,R1,solarPV,2050
4,6.00000000000,2040,R1,solarPV,2050
5,10.00000000000,2045,R1,solarPV,2050
7,1.50000000000,2045,R1,windturbine,2050
8,5.00000000000,2020,R2,gasCCGT,2050
9,5.88890000000,2025,R2,gasCCGT,2050
10,6.00000000000,2030,R2,solarPV,2050
11,6.00000000000,2035,R2,solarPV,2050
12,6.00000000000,2040,R2,solarPV,2050
13,10.00000000000,2045,R2,solarPV,2050
15,1.50000000000,2045,R2,windturbine,2050
