commodity,asset,year,region,installed,technology,supply
heat,3,2050,R1,2040,heatpump,38.00000000000
heat,5,2050,R1,2045,heatpump,34.00000000000
heat,5,2055,R1,2045,heatpump,34.00000000000
heat,7,2055,R1,2050,heatpump,38.00000000000
heat,11,2050,R2,2040,heatpump,38.00000000000
heat,13,2050,R2,2045,heatpump,34.00000000000
heat,13,2055,R2,2045,heatpump,34.00000000000
heat,15,2055,R2,2050,heatpump,38.00000000000
