,commodity,region,technology,year,supply
0,heat,R1,gasboiler,2025,0.66500000000
1,heat,R1,heatpump,2025,0.41830000000
2,heat,R1,gasboiler,2030,0.74830000000
3,heat,R1,heatpump,2030,0.41830000000
4,CO2f,R1,gasboiler,2025,43.03220000000
5,CO2f,R1,gasboiler,2030,48.42460000000
6,heat,R1,gasboiler,2025,0.99750000000
7,heat,R1,heatpump,2025,0.62750000000
8,heat,R1,gasboiler,2030,1.12250000000
9,heat,R1,heatpump,2030,0.62750000000
10,CO2f,R1,gasboiler,2025,64.54820000000
11,CO2f,R1,gasboiler,2030,72.63700000000
12,heat,R1,gasboiler,2025,0.66500000000
13,heat,R1,heatpump,2025,0.41830000000
14,heat,R1,gasboiler,2030,0.74830000000
15,heat,R1,heatpump,2030,0.41830000000
16,CO2f,R1,gasboiler,2025,43.03220000000
17,CO2f,R1,gasboiler,2030,48.42460000000
18,heat,R1,gasboiler,2025,0.99750000000
19,heat,R1,heatpump,2025,0.62750000000
20,heat,R1,gasboiler,2030,1.12250000000
21,heat,R1,heatpump,2030,0.62750000000
22,CO2f,R1,gasboiler,2025,64.54820000000
23,CO2f,R1,gasboiler,2030,72.63700000000
24,heat,R1,gasboiler,2025,1.99500000000
25,heat,R1,heatpump,2025,1.25500000000
26,heat,R1,gasboiler,2030,2.24500000000
27,heat,R1,heatpump,2030,1.25500000000
28,CO2f,R1,gasboiler,2025,129.09640000000
29,CO2f,R1,gasboiler,2030,145.27390000000
30,heat,R1,gasboiler,2025,1.33000000000
31,heat,R1,heatpump,2025,0.83670000000
32,heat,R1,gasboiler,2030,1.49670000000
33,heat,R1,heatpump,2030,0.83670000000
34,CO2f,R1,gasboiler,2025,86.06430000000
35,CO2f,R1,gasboiler,2030,96.84930000000
