,commodity,region,technology,year,consumption
0,gas,R1,gasboiler,2050,0.20360000000
1,electricity,R1,heatpump,2050,0.16380000000
2,gas,R1,gasboiler,2050,0.31840000000
3,electricity,R1,heatpump,2050,0.25620000000
4,gas,R1,gasboiler,2055,0.31840000000
5,electricity,R1,heatpump,2055,0.25620000000
6,gas,R1,gasboiler,2055,0.20360000000
7,electricity,R1,heatpump,2055,0.16380000000
8,gas,R1,gasboiler,2050,0.30540000000
9,electricity,R1,heatpump,2050,0.24570000000
10,gas,R1,gasboiler,2050,0.47760000000
11,electricity,R1,heatpump,2050,0.38430000000
12,gas,R1,gasboiler,2055,0.47760000000
13,electricity,R1,heatpump,2055,0.38430000000
14,gas,R1,gasboiler,2055,0.30540000000
15,electricity,R1,heatpump,2055,0.24570000000
16,gas,R1,gasboiler,2050,0.20360000000
17,electricity,R1,heatpump,2050,0.16380000000
18,gas,R1,gasboiler,2050,0.31840000000
19,electricity,R1,heatpump,2050,0.25620000000
20,gas,R1,gasboiler,2055,0.31840000000
21,electricity,R1,heatpump,2055,0.25620000000
22,gas,R1,gasboiler,2055,0.20360000000
23,electricity,R1,heatpump,2055,0.16380000000
24,gas,R1,gasboiler,2050,0.30540000000
25,electricity,R1,heatpump,2050,0.24570000000
26,gas,R1,gasboiler,2050,0.47760000000
27,electricity,R1,heatpump,2050,0.38430000000
28,gas,R1,gasboiler,2055,0.47760000000
29,electricity,R1,heatpump,2055,0.38430000000
30,gas,R1,gasboiler,2055,0.30540000000
31,electricity,R1,heatpump,2055,0.24570000000
32,gas,R1,gasboiler,2050,0.61070000000
33,electricity,R1,heatpump,2050,0.49140000000
34,gas,R1,gasboiler,2050,0.95530000000
35,electricity,R1,heatpump,2050,0.76860000000
36,gas,R1,gasboiler,2055,0.95530000000
37,electricity,R1,heatpump,2055,0.76860000000
38,gas,R1,gasboiler,2055,0.61070000000
39,electricity,R1,heatpump,2055,0.49140000000
40,gas,R1,gasboiler,2050,0.40720000000
41,electricity,R1,heatpump,2050,0.32760000000
42,gas,R1,gasboiler,2050,0.63680000000
43,electricity,R1,heatpump,2050,0.51240000000
44,gas,R1,gasboiler,2055,0.63680000000
45,electricity,R1,heatpump,2055,0.51240000000
46,gas,R1,gasboiler,2055,0.40720000000
47,electricity,R1,heatpump,2055,0.32760000000
