,asset,year,technology,region,installed,capacity
0,0,2045,estove,R1,2035,13.00000000000
1,0,2049,estove,R1,2035,13.00000000000
7,1,2045,estove,R1,2040,24.14400000000
8,1,2049,estove,R1,2040,24.14400000000
9,1,2050,estove,R1,2040,24.14400000000
10,1,2054,estove,R1,2040,24.14400000000
16,2,2050,estove,R1,2045,17.00000000000
17,2,2054,estove,R1,2045,17.00000000000
18,2,2055,estove,R1,2045,17.00000000000
19,2,2059,estove,R1,2045,17.00000000000
21,3,2045,estove,R2,2035,13.00000000000
22,3,2049,estove,R2,2035,13.00000000000
28,4,2045,estove,R2,2040,24.14400000000
29,4,2049,estove,R2,2040,24.14400000000
30,4,2050,estove,R2,2040,24.14400000000
31,4,2054,estove,R2,2040,24.14400000000
37,5,2050,estove,R2,2045,17.00000000000
38,5,2054,estove,R2,2045,17.00000000000
39,5,2055,estove,R2,2045,17.00000000000
40,5,2059,estove,R2,2045,17.00000000000
42,6,2045,heatpump,R1,2035,16.42930000000
43,6,2049,heatpump,R1,2035,16.42930000000
49,7,2045,heatpump,R1,2040,29.28800000000
50,7,2049,heatpump,R1,2040,29.28800000000
51,7,2050,heatpump,R1,2040,29.28800000000
52,7,2054,heatpump,R1,2040,29.28800000000
58,8,2050,heatpump,R1,2045,22.14400000000
59,8,2054,heatpump,R1,2045,22.14400000000
60,8,2055,heatpump,R1,2045,22.14400000000
61,8,2059,heatpump,R1,2045,22.14400000000
63,9,2045,heatpump,R2,2035,16.42930000000
64,9,2049,heatpump,R2,2035,16.42930000000
70,10,2045,heatpump,R2,2040,29.28800000000
71,10,2049,heatpump,R2,2040,29.28800000000
72,10,2050,heatpump,R2,2040,29.28800000000
73,10,2054,heatpump,R2,2040,29.28800000000
79,11,2050,heatpump,R2,2045,22.14400000000
80,11,2054,heatpump,R2,2045,22.14400000000
81,11,2055,heatpump,R2,2045,22.14400000000
82,11,2059,heatpump,R2,2045,22.14400000000
