,asset,year,region,technology,installed,capacity
0,0,2025,R1,gasCCGT,2020,1.00000000000
10,1,2030,R1,gasCCGT,2025,4.06670000000
11,1,2035,R1,gasCCGT,2025,4.06670000000
12,1,2040,R1,gasCCGT,2025,4.06670000000
13,1,2045,R1,gasCCGT,2025,4.06670000000
14,1,2049,R1,gasCCGT,2025,4.06670000000
15,1,2050,R1,gasCCGT,2025,4.06670000000
16,1,2064,R1,gasCCGT,2025,4.06670000000
18,2,2025,R1,solarPV,2020,6.75000000000
19,2,2030,R1,solarPV,2020,6.75000000000
20,2,2035,R1,solarPV,2020,6.75000000000
21,2,2040,R1,solarPV,2020,6.75000000000
22,2,2045,R1,solarPV,2020,6.75000000000
23,2,2049,R1,solarPV,2020,6.75000000000
27,3,2025,R1,windturbine,2020,10.00000000000
28,3,2030,R1,windturbine,2020,10.00000000000
29,3,2035,R1,windturbine,2020,10.00000000000
30,3,2040,R1,windturbine,2020,10.00000000000
31,3,2045,R1,windturbine,2020,10.00000000000
32,3,2049,R1,windturbine,2020,10.00000000000
