,timeslice,region,installed,technology,year,agent,category,sector,emission_costs
0,"('all-year', 'all-week', 'night')",R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
1,"('all-year', 'all-week', 'morning')",R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
2,"('all-year', 'all-week', 'afternoon')",R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
3,"('all-year', 'all-week', 'early-peak')",R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
4,"('all-year', 'all-week', 'late-peak')",R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
5,"('all-year', 'all-week', 'evening')",R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
6,"('all-year', 'all-week', 'night')",R1,2020,gasboiler,2020,A1,retrofit,residential,0.00000000000
7,"('all-year', 'all-week', 'night')",R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
8,"('all-year', 'all-week', 'morning')",R1,2020,gasboiler,2020,A1,retrofit,residential,0.00000000000
9,"('all-year', 'all-week', 'morning')",R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
10,"('all-year', 'all-week', 'afternoon')",R1,2020,gasboiler,2020,A1,retrofit,residential,0.00000000000
11,"('all-year', 'all-week', 'afternoon')",R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
12,"('all-year', 'all-week', 'early-peak')",R1,2020,gasboiler,2020,A1,retrofit,residential,0.00000000000
13,"('all-year', 'all-week', 'early-peak')",R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
14,"('all-year', 'all-week', 'late-peak')",R1,2020,gasboiler,2020,A1,retrofit,residential,0.00000000000
15,"('all-year', 'all-week', 'late-peak')",R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
16,"('all-year', 'all-week', 'evening')",R1,2020,gasboiler,2020,A1,retrofit,residential,0.00000000000
17,"('all-year', 'all-week', 'evening')",R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
18,"('all-year', 'all-week', 'night')",R1,2020,heatpump,2020,A2,newcapa,residential,0.00000000000
19,"('all-year', 'all-week', 'morning')",R1,2020,heatpump,2020,A2,newcapa,residential,0.00000000000
20,"('all-year', 'all-week', 'afternoon')",R1,2020,heatpump,2020,A2,newcapa,residential,0.00000000000
