region,timeslice,commodity,year,month,day,hour,supply
R1,0,heat,2035,all-year,all-week,night,0.99630000000
R1,0,heat,2040,all-year,all-week,night,1.02350000000
R1,0,CO2f,2035,all-year,all-week,night,8.72610000000
R1,0,CO2f,2040,all-year,all-week,night,3.15160000000
R1,1,heat,2035,all-year,all-week,morning,1.50150000000
R1,1,heat,2040,all-year,all-week,morning,1.54250000000
R1,1,CO2f,2035,all-year,all-week,morning,13.15060000000
R1,1,CO2f,2040,all-year,all-week,morning,4.74970000000
R1,2,heat,2035,all-year,all-week,mid-afternoon,0.99630000000
R1,2,heat,2040,all-year,all-week,mid-afternoon,1.02350000000
R1,2,CO2f,2035,all-year,all-week,mid-afternoon,8.72610000000
R1,2,CO2f,2040,all-year,all-week,mid-afternoon,3.15160000000
R1,3,heat,2035,all-year,all-week,early-peak,1.50150000000
R1,3,heat,2040,all-year,all-week,early-peak,1.54250000000
R1,3,CO2f,2035,all-year,all-week,early-peak,13.15060000000
R1,3,CO2f,2040,all-year,all-week,early-peak,4.74970000000
R1,4,heat,2035,all-year,all-week,late-peak,3.00290000000
R1,4,heat,2040,all-year,all-week,late-peak,3.08490000000
R1,4,CO2f,2035,all-year,all-week,late-peak,26.30110000000
R1,4,CO2f,2040,all-year,all-week,late-peak,9.49930000000
R1,5,heat,2035,all-year,all-week,evening,2.00660000000
R1,5,heat,2040,all-year,all-week,evening,2.06140000000
R1,5,CO2f,2035,all-year,all-week,evening,17.57510000000
R1,5,CO2f,2040,all-year,all-week,evening,6.34770000000
R1,6,heat,2035,all-year,all-week,early-morning,2.00660000000
R1,6,heat,2040,all-year,all-week,early-morning,2.06140000000
R1,6,CO2f,2035,all-year,all-week,early-morning,17.57510000000
R1,6,CO2f,2040,all-year,all-week,early-morning,6.34770000000
R1,7,heat,2035,all-year,all-week,late-afternoon,2.00660000000
R1,7,heat,2040,all-year,all-week,late-afternoon,2.06140000000
R1,7,CO2f,2035,all-year,all-week,late-afternoon,17.57510000000
R1,7,CO2f,2040,all-year,all-week,late-afternoon,6.34770000000
